Age,Height,Weight,BMI,Gender
65,170.0,78.3,27.09,0
10,115.5,18.7,14.02,1
90,149.3,42.1,18.89,1
77,152.8,55.5,23.77,0
11,135.5,29.3,15.96,0
53,155.1,84.3,35.04,0
18,158.0,61.0,24.44,1
60,148.6,70.5,31.93,0
80,142.2,61.5,30.41,0
19,154.2,50.1,21.07,1
4,115.5,19.7,14.77,0
30,164.6,57.9,21.37,1
18,164.6,61.1,22.55,0
41,162.2,77.6,29.5,1
12,132.3,28.8,16.45,1
2,86.0,11.6,15.68,0
10,129.5,28.9,17.23,1
80,149.1,63.7,28.65,1
7,122.3,22.5,15.04,0
45,175.6,79.4,25.75,1
89,136.3,43.3,23.31,1
4,114.9,18.9,14.32,0
90,144.5,44.7,21.41,1
2,93.9,13.4,15.2,0
17,158.2,64.2,25.65,0
26,159.6,69.2,27.17,1
53,160.6,82.4,31.95,1
22,164.7,56.7,20.9,0
45,160.5,72.2,28.03,0
95,135.7,60.7,32.96,1
51,146.2,60.1,28.12,1
33,166.8,73.8,26.53,0
26,167.0,74.5,26.71,0
6,106.0,13.4,11.93,1
2,92.6,15.2,17.73,0
96,137.9,44.8,23.56,1
40,159.0,85.7,33.9,0
10,123.3,18.2,11.97,1
23,156.2,58.1,23.81,1
28,164.1,67.2,24.95,1
22,164.0,60.0,22.31,0
35,165.5,71.3,26.03,1
89,150.8,59.5,26.16,1
98,136.3,44.2,23.79,1
22,164.7,64.6,23.81,0
1,74.5,4.0,7.21,1
3,86.6,7.1,9.47,1
95,147.4,48.3,22.23,0
22,158.6,51.0,20.28,1
4,92.4,11.3,13.24,0
15,143.8,39.3,19.01,1
95,137.0,55.1,29.36,1
66,168.6,59.1,20.79,0
16,157.1,61.7,25.0,0
71,143.8,69.8,33.75,1
67,156.9,73.4,29.82,0
28,159.3,58.7,23.13,1
22,165.9,63.1,22.93,0
53,154.3,87.8,36.88,0
94,138.5,69.1,36.02,0
15,144.5,40.8,19.54,1
13,151.7,51.8,22.51,0
7,123.6,16.1,10.54,1
60,159.6,88.9,34.9,0
22,161.1,64.8,24.97,1
34,167.0,55.9,20.04,1
6,112.8,21.2,16.66,0
72,141.0,70.6,35.51,1
4,98.1,13.4,13.92,1
22,162.1,58.3,22.19,1
50,160.3,68.8,26.77,1
32,161.3,73.0,28.06,0
52,171.0,69.3,23.7,0
38,173.8,75.9,25.13,1
80,150.6,47.0,20.72,1
53,149.9,78.1,34.76,1
30,157.6,60.6,24.4,1
17,160.8,60.0,23.2,0
29,159.8,67.9,26.59,1
15,141.8,45.1,22.43,1
25,167.3,56.4,20.15,0
20,158.6,55.0,21.87,0
40,159.8,56.5,22.13,1
69,156.4,54.7,22.36,1
20,160.7,50.7,19.63,1
17,161.6,56.6,21.67,0
76,147.8,64.0,29.3,1
75,144.6,61.9,29.6,1
30,159.9,67.8,26.52,1
55,171.8,67.9,23.01,0
26,157.2,57.7,23.35,1
84,150.0,73.5,32.67,0
91,136.8,60.4,32.27,1
18,159.4,52.6,20.7,0
4,114.4,16.1,12.3,0
35,178.4,61.3,19.26,0
71,151.1,55.2,24.18,1
70,150.3,73.7,32.62,0
74,155.4,53.0,21.95,0
64,158.6,57.1,22.7,1
21,165.4,59.5,21.75,0
65,146.9,61.3,28.41,0
29,171.4,63.6,21.65,0
98,152.7,63.2,27.1,0
8,121.3,17.3,11.76,1
45,152.3,74.9,32.29,1
50,151.9,61.1,26.48,1
64,162.9,60.2,22.69,0
7,92.1,12.7,14.97,1
16,164.2,54.9,20.36,0
40,174.5,68.9,22.63,1
35,178.3,66.3,20.86,0
56,166.3,66.6,24.08,0
40,166.4,73.6,26.58,1
45,165.9,83.7,30.41,0
41,172.6,60.5,20.31,1
4,99.1,11.2,11.4,1
16,153.8,56.7,23.97,1
95,152.6,63.9,27.44,0
63,153.0,63.4,27.08,0
43,164.8,65.2,24.01,1
37,154.7,62.1,25.95,1
45,178.4,90.4,28.4,0
16,165.6,63.7,23.23,0
31,179.8,79.9,24.72,0
16,153.7,50.5,21.38,0
81,152.2,47.1,20.33,1
18,163.9,66.8,24.87,0
96,148.5,45.8,20.77,0
36,167.4,86.6,30.9,0
72,166.1,54.0,19.57,0
54,165.7,84.0,30.59,0
7,118.5,20.3,14.46,0
4,102.7,17.0,16.12,0
37,174.3,74.9,24.65,1
88,141.5,56.7,28.32,1
15,141.6,36.7,18.3,1
85,146.1,44.4,20.8,1
72,157.6,68.2,27.46,1
83,135.8,48.9,26.52,1
85,148.0,71.8,32.78,0
10,126.8,24.1,14.99,0
95,151.4,44.9,19.59,0
56,145.3,56.9,26.95,1
95,144.6,52.1,24.92,0
13,129.0,24.7,14.84,1
18,155.9,53.1,21.85,0
85,146.8,62.7,29.09,0
57,147.5,73.4,33.74,1
92,135.5,60.6,33.01,1
95,150.9,52.9,23.23,0
56,157.0,76.5,31.04,0
2,80.6,7.2,11.08,1
62,149.5,83.1,37.18,0
55,160.9,89.2,34.46,0
7,118.0,18.9,13.57,1
97,137.9,50.9,26.77,0
42,157.3,81.5,32.94,0
100,147.5,50.3,23.12,0
33,158.6,59.8,23.77,1
2,76.9,8.4,14.2,0
95,144.7,44.6,21.3,1
12,132.1,32.6,18.68,0
62,150.6,76.7,33.82,0
73,139.9,49.0,25.04,1
92,156.4,49.0,20.03,0
8,130.9,20.6,12.02,0
95,141.0,64.7,32.54,0
72,159.1,74.3,29.35,0
2,82.1,12.8,18.99,0
4,88.3,14.8,18.98,0
4,93.3,13.5,15.51,0
85,150.6,48.3,21.3,0
40,157.3,60.2,24.33,1
50,163.7,79.6,29.7,1
28,159.2,54.3,21.42,1
15,162.2,48.2,18.32,0
64,142.5,71.5,35.21,1
57,152.8,70.2,30.07,1
56,172.7,65.0,21.79,0
14,145.2,53.6,25.42,0
85,147.8,50.2,22.98,0
2,73.2,9.1,16.98,0
18,157.0,52.9,21.46,1
36,179.4,70.1,21.78,0
88,150.2,53.6,23.76,1
17,153.8,52.0,21.98,1
70,143.9,49.5,23.9,1
98,136.6,55.9,29.96,1
36,173.3,68.5,22.81,0
95,138.0,69.2,36.34,0
33,169.1,58.9,20.6,1
3,84.7,14.8,20.63,0
14,155.2,36.1,14.99,1
1,81.9,8.1,12.08,0
90,148.6,57.9,26.22,0
88,154.5,58.3,24.42,0
26,163.9,62.7,23.34,0
76,149.9,58.3,25.95,0
17,155.6,52.8,21.81,1
10,142.7,29.3,14.39,0
92,143.8,51.7,25.0,0
81,150.6,60.7,26.76,1
1,80.8,11.0,16.85,0
29,167.0,63.4,22.73,0
29,161.9,55.7,21.25,1
22,157.6,54.5,21.94,1
7,96.7,20.2,21.6,0
70,146.5,62.1,28.93,0
4,80.9,7.3,11.15,1
4,83.0,12.7,18.44,0
13,126.5,24.2,15.12,1
45,173.2,68.0,22.67,1
2,73.7,4.0,7.36,1
70,156.3,56.9,23.29,1
67,151.8,72.5,31.46,1
3,82.1,6.4,9.49,1
16,151.1,49.1,21.51,0
57,165.4,71.5,26.14,1
48,156.1,84.1,34.51,1
85,154.8,63.3,26.42,1
2,91.8,10.9,12.93,0
49,169.6,87.6,30.45,0
43,161.3,67.7,26.02,1
58,165.7,87.5,31.87,0
43,163.6,59.6,22.27,1
47,163.3,79.1,29.66,0
75,144.6,66.3,31.71,1
73,152.5,76.4,32.85,0
11,137.4,26.9,14.25,1
84,146.2,68.5,32.05,0
92,146.8,55.0,25.52,0
14,141.3,39.4,19.73,1
40,157.9,71.9,28.84,1
7,115.6,17.3,12.95,1
70,161.2,66.1,25.44,1
36,162.7,61.2,23.12,1
7,117.0,18.7,13.66,1
2,81.3,6.4,9.68,1
88,152.0,69.8,30.21,0
70,163.4,78.9,29.55,0
98,136.0,43.0,23.25,1
92,135.4,39.2,21.38,1
30,166.8,60.2,21.64,0
19,161.6,58.5,22.4,1
75,153.0,64.2,27.43,1
2,83.7,7.8,11.13,1
26,176.9,70.7,22.59,0
68,159.9,59.3,23.19,1
28,161.4,58.7,22.53,1
50,167.0,70.8,25.39,1
69,161.4,57.8,22.19,1
13,146.0,34.9,16.37,1
27,167.3,73.2,26.15,0
53,163.4,62.9,23.56,0
27,175.8,69.1,22.36,0
75,143.9,64.7,31.25,1
65,168.7,80.6,28.32,0
55,166.9,69.3,24.88,0
70,168.6,66.7,23.46,0
24,161.8,64.7,24.71,0
13,139.8,31.5,16.12,0
4,99.8,13.6,13.65,1
75,150.6,67.8,29.89,1
98,154.0,56.2,23.7,0
70,159.6,60.5,23.75,1
17,158.5,50.2,19.98,1
61,164.9,69.8,25.67,1
69,155.4,68.6,28.41,1
81,153.6,54.5,23.1,1
43,174.6,72.3,23.72,0
30,159.1,59.3,23.43,1
96,137.2,52.4,27.84,1
26,164.2,55.9,20.73,0
69,147.1,71.7,33.14,0
80,154.2,51.8,21.79,1
11,131.7,31.8,18.33,0
35,166.5,66.7,24.06,1
7,106.5,22.0,19.4,0
45,160.7,85.0,32.91,1
56,148.9,59.7,26.93,1
31,166.3,61.1,22.09,0
62,169.3,71.3,24.88,0
89,155.2,62.7,26.03,0
30,166.1,59.3,21.49,1
33,179.2,72.1,22.45,0
60,154.9,67.5,28.13,1
70,143.0,49.9,24.4,1
32,167.4,60.7,21.66,0
95,146.5,40.1,18.68,1
19,160.3,55.5,21.6,0
15,145.9,52.3,24.57,0
26,175.0,58.7,19.17,0
80,151.9,48.5,21.02,1
96,134.7,52.4,28.88,1
36,174.1,70.6,23.29,0
18,154.7,46.2,19.3,1
5,110.3,19.9,16.36,0
35,180.6,62.9,19.28,0
19,160.3,66.3,25.8,0
1,71.6,10.3,20.09,0
53,175.7,78.6,25.46,0
85,147.5,56.9,26.15,0
17,163.0,48.7,18.33,0
48,176.3,73.1,23.52,0
10,114.0,18.6,14.31,1
84,142.7,61.1,30.0,1
50,153.6,59.7,25.3,1
55,165.8,75.7,27.54,0
70,139.1,72.6,37.52,1
71,156.5,67.3,27.48,1
1,70.9,4.0,7.96,1
88,155.7,61.2,25.24,0
35,163.3,80.9,30.34,0
63,144.5,66.3,31.75,1
23,163.8,54.0,20.13,1
65,148.5,70.9,32.15,0
27,169.5,69.7,24.26,0
5,98.6,12.6,12.96,1
2,78.1,8.8,14.43,0
78,145.0,52.5,24.97,0
18,152.8,44.9,19.23,1
80,145.9,55.6,26.12,0
2,80.2,11.9,18.5,0
4,94.8,11.5,12.8,0
62,141.1,58.8,29.53,1
10,132.6,24.0,13.65,1
10,124.4,23.1,14.93,0
63,167.6,71.3,25.38,0
4,90.6,11.0,13.4,0
86,150.3,50.0,22.13,1
27,170.7,62.5,21.45,0
72,158.6,61.5,24.45,1
80,138.0,68.8,36.13,1
23,162.7,60.0,22.67,0
60,147.2,74.7,34.48,1
76,146.4,70.5,32.89,0
93,146.4,65.2,30.42,0
28,176.8,60.3,19.29,0
68,145.1,58.7,27.88,1
2,89.3,14.8,18.56,0
4,89.6,13.4,16.69,0
87,143.9,61.7,29.8,1
55,164.2,70.2,26.04,1
56,158.5,59.3,23.6,1
62,147.6,58.5,26.85,1
45,153.3,65.9,28.04,1
48,164.5,87.5,32.34,0
95,144.9,55.9,26.62,1
21,163.4,59.0,22.1,0
68,168.1,73.1,25.87,0
79,164.9,73.7,27.1,0
70,153.6,49.1,20.81,1
56,159.6,75.4,29.6,0
42,173.5,68.7,22.82,0
15,147.6,44.4,20.38,1
16,147.2,48.0,22.15,0
42,178.3,69.9,21.99,0
70,154.4,58.8,24.67,1
76,146.9,51.5,23.87,1
13,148.5,40.3,18.27,1
25,166.0,63.9,23.19,0
40,163.7,84.6,31.57,0
1,82.0,12.0,17.85,0
92,148.8,62.7,28.32,0
22,157.4,58.2,23.49,1
85,157.2,59.9,24.24,0
18,154.9,59.5,24.8,1
45,166.1,69.5,25.19,0
58,160.8,74.4,28.77,0
7,95.2,13.2,14.56,1
45,174.5,73.3,24.07,1
79,148.6,76.9,34.82,0
17,162.2,48.0,18.24,0
22,165.4,72.3,26.43,0
55,171.1,85.8,29.31,0
66,164.9,79.8,29.35,0
27,170.6,66.3,22.78,0
33,165.1,69.9,25.64,1
18,160.9,50.2,19.39,0
83,148.5,66.1,29.97,0
27,166.5,61.0,22.0,0
16,155.4,52.5,21.74,0
90,133.7,56.8,31.77,1
65,160.2,56.8,22.13,1
54,153.4,68.3,29.02,1
10,126.9,25.6,15.9,1
94,131.5,50.8,29.38,1
17,156.8,49.2,20.01,0
23,163.1,70.8,26.61,0
6,98.4,19.2,19.83,0
91,156.1,69.1,28.36,0
30,163.3,69.5,26.06,0
89,136.2,42.0,22.64,1
88,150.2,50.7,22.47,1
62,151.3,74.6,32.59,0
13,133.6,28.9,16.19,1
1,70.3,11.8,23.88,0
12,145.8,28.2,13.27,0
4,84.1,11.5,16.26,0
51,175.9,77.2,24.95,0
19,161.7,64.0,24.48,0
22,167.1,61.0,21.85,0
7,118.4,24.5,17.48,0
1,71.7,9.8,19.06,0
30,163.8,59.9,22.33,0
20,164.2,65.4,24.26,0
26,161.1,56.3,21.69,1
80,149.8,64.1,28.57,1
29,164.9,57.2,21.04,0
15,160.2,54.1,21.08,0
62,158.6,71.1,28.27,1
78,164.0,54.1,20.11,0
16,151.7,53.8,23.38,1
45,159.9,69.5,27.18,0
1,84.6,8.9,12.44,0
22,161.9,54.4,20.75,1
16,157.4,43.2,17.44,0
36,173.3,84.2,28.04,0
77,139.1,62.5,32.3,1
56,157.5,78.7,31.73,1
42,173.4,60.1,19.99,1
90,153.7,70.1,29.67,0
2,92.7,15.9,18.5,0
14,149.6,46.9,20.96,0
2,77.3,11.5,19.25,0
95,144.2,42.9,20.63,1
1,75.9,4.0,6.94,1
10,130.8,22.0,12.86,0
32,161.4,68.3,26.22,1
37,161.2,56.4,21.7,1
31,161.9,57.0,21.75,1
78,150.9,65.8,28.9,0
16,147.4,55.0,25.31,0
5,111.4,15.4,12.41,0
36,174.9,63.0,20.59,1
36,179.0,76.1,23.75,0
4,102.5,12.7,12.09,1
46,169.1,73.0,25.53,0
10,138.6,30.0,15.62,0
35,171.5,67.2,22.85,1
92,153.4,45.6,19.38,0
41,178.4,86.4,27.15,0
28,164.5,54.7,20.21,1
80,138.6,61.2,31.86,1
38,172.1,69.2,23.36,0
95,137.8,50.8,26.75,1
27,168.1,65.1,23.04,1
94,138.5,51.4,26.8,0
4,93.8,13.5,15.34,1
86,140.7,44.4,22.43,1
10,120.2,22.5,15.57,0
55,164.2,81.2,30.12,0
16,158.9,53.8,21.31,1
54,173.9,85.5,28.27,0
100,138.3,55.7,29.12,1
99,135.1,36.1,19.78,1
49,172.6,60.2,20.21,1
8,126.7,21.8,13.58,0
95,132.9,40.1,22.7,1
51,177.7,76.9,24.35,0
22,160.2,57.8,22.52,0
4,80.0,6.8,10.62,1
65,144.5,62.4,29.88,1
44,159.1,78.0,30.81,0
55,151.7,63.1,27.42,0
47,149.8,60.7,27.05,1
2,82.7,9.8,14.33,0
26,161.0,59.1,22.8,0
91,144.6,46.3,22.14,1
14,151.8,46.0,19.96,0
85,142.9,62.0,30.36,1
26,157.2,52.9,21.41,1
27,170.9,57.1,19.55,1
95,150.2,43.9,19.46,1
39,164.2,84.8,31.45,0
74,138.5,49.3,25.7,1
19,163.7,48.3,18.02,1
1,76.6,4.0,6.82,1
5,98.8,11.6,11.88,1
18,153.9,55.6,23.47,1
84,155.2,70.2,29.14,0
3,81.7,7.3,10.94,1
7,123.2,18.0,11.86,1
19,155.8,47.3,19.49,1
35,171.2,80.3,27.4,0
85,153.6,46.8,19.84,0
16,166.4,54.2,19.57,0
50,169.4,65.2,22.72,1
87,142.3,45.4,22.42,0
24,168.1,66.5,23.53,0
14,143.0,43.4,21.22,1
31,176.8,65.2,20.86,0
63,150.6,62.6,27.6,1
18,159.4,47.9,18.85,1
80,136.6,53.6,28.73,1
58,153.4,68.3,29.02,1
10,141.7,34.7,17.28,0
25,162.4,56.2,21.31,1
93,140.9,55.6,28.01,0
70,150.5,76.6,33.82,0
76,142.2,57.0,28.19,0
43,179.1,77.6,24.19,0
16,148.8,43.7,19.74,0
14,160.8,45.7,17.67,0
2,71.5,4.0,7.82,1
9,114.7,16.1,12.24,1
7,117.6,17.6,12.73,1
97,151.6,52.8,22.97,0
38,162.6,67.6,25.57,0
40,180.4,76.8,23.6,0
16,158.1,55.0,22.0,1
35,160.3,73.4,28.56,1
28,168.6,54.2,19.07,1
3,87.1,7.2,9.49,1
78,157.0,76.2,30.91,0
81,144.7,61.5,29.37,0
3,83.0,15.0,21.77,0
21,162.6,64.3,24.32,0
92,133.4,54.3,30.51,1
95,148.3,55.3,25.14,0
30,161.0,59.2,22.84,1
85,159.0,68.9,27.25,0
2,71.2,4.0,7.89,1
58,152.8,67.0,28.7,1
98,144.5,57.2,27.39,0
80,142.3,62.9,31.06,1
93,145.9,47.2,22.17,1
26,169.2,66.4,23.19,1
10,127.8,24.4,14.94,1
85,152.1,56.1,24.25,1
95,139.2,44.7,23.07,0
